Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
brookes-babylab,central fixation,MB_88,brookes-babylab:MB_88,English,266,2,16,English,FALSE,1.4146026764768442,1.7406249237080123,0.326022247231168,0.551663824063289,IDS_preference
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,158,1,16,American English,TRUE,2.006992508150671,2.2251924977647355,0.21819998961406428,0.5257786449917812,IDS_preference
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,169,2,16,American English,TRUE,1.6208357250115812,1.680214076071282,0.059378351059700796,0.5089938587173424,IDS_preference
InfantCog-UBC,central fixation,HV25,InfantCog-UBC:HV25,English,163,1,10,American English,TRUE,1.1022409377176652,1.0892983093407627,-0.01294262837690252,0.4970471374413499,ADS_preference
InfantCog-UBC,central fixation,HV25,InfantCog-UBC:HV25,English,172,2,9,American English,TRUE,1.1022409377176652,1.0802334259706865,-0.02200751174697868,0.4949581282343711,ADS_preference
InfantCog-UBC,central fixation,ML23,InfantCog-UBC:ML23,English,135,1,15,American English,TRUE,2.069641218660406,2.0492019994672437,-0.020439219193162383,0.4975188155859871,ADS_preference
InfantCog-UBC,central fixation,ML23,InfantCog-UBC:ML23,English,184,2,15,American English,TRUE,1.953234265251518,2.2077183776013554,0.25448411234983737,0.5305800298865401,IDS_preference
InfantCog-UBC,central fixation,OS32,InfantCog-UBC:OS32,English,104,1,14,American English,TRUE,2.348846192812279,2.0472503676247302,-0.3015958251875488,0.4656973156707041,ADS_preference
InfantCog-UBC,central fixation,OS32,InfantCog-UBC:OS32,English,112,2,13,American English,TRUE,1.9370113184127622,1.801008117602389,-0.1360032008103731,0.48180812016384844,ADS_preference
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,116,1,16,American English,TRUE,1.7085927103564678,1.85579396091501,0.14720125055854227,0.5206488891546148,IDS_preference
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,159,2,14,American English,TRUE,2.4942047181642417,2.2976513904196727,-0.19655332774456902,0.4794908983814777,ADS_preference
