Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,ADS,216,1,16,2.1725502317076018,9.28625,-0.5,English,FALSE
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,ADS,224,2,15,2.4464360734389543,12.854285714285714,-0.5,English,FALSE
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,IDS,216,1,16,2.3084009454843106,11.855,0.5,English,FALSE
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,IDS,224,2,15,2.571364086624597,13.91375,0.5,English,FALSE
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,ADS,217,1,15,1.3147997008443284,4.17,-0.5,English,FALSE
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,ADS,229,2,14,1.180515556585194,3.4524999999999997,-0.5,English,FALSE
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,IDS,217,1,15,1.759701431231719,6.45,0.5,English,FALSE
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,IDS,229,2,14,1.9318811267231228,8.321666666666667,0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,ADS,228,1,16,1.8097956840105929,6.81125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,ADS,235,2,16,1.562920778430566,4.96,-0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,IDS,228,1,16,2.249298696399034,10.85375,0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,IDS,235,2,16,2.269966724394867,10.838750000000001,0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,ADS,269,1,16,2.11750049806192,9.6225,-0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,ADS,278,2,14,1.4230272362771443,5.33,-0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,IDS,269,1,16,2.1454026878617443,10.56875,0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,IDS,278,2,14,1.819807128853816,7.475714285714285,0.5,English,FALSE
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,ADS,255,1,16,1.5012147742358155,5.0725,-0.5,English,FALSE
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,ADS,262,2,15,1.3085853201614115,4.228571428571429,-0.5,English,FALSE
