Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS7,14,0.873,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS8,15,5.512,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS8,16,7.201,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,training,train2,-2,18,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,training,train1,-1,17.548,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS1,1,16.851,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS1,2,17.678,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS2,3,18,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS2,4,15.279,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS3,5,14.227,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS3,6,8.798,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS4,7,6.306,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS4,8,3.726,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS5,9,10.107,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS5,10,5.519,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS6,11,3.656,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS6,12,16.577,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS7,13,10.531,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS7,14,14.198,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,IDS,IDS8,15,7.828,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS8,16,5.961,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,204,M,HPP,term,2,training,train2,-2,14.838,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,204,M,HPP,term,2,training,train1,-1,6.105,noerror,noerror,NA,German,babylab-potsdam,7
b7105,babylab-potsdam:b7105,204,M,HPP,term,2,ADS,ADS1,1,14.737,noerror,noerror,NA,German,babylab-potsdam,7
