Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,N_below_threshold_lt,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,IDS,272,2,16,0,1.6219887916996298,6.395125,0.5,German,FALSE
wsi-goettingen,central fixation,M213,wsi-goettingen:M213,German,ADS,229,1,16,0,2.419298455579494,12.25,-0.5,German,FALSE
wsi-goettingen,central fixation,M213,wsi-goettingen:M213,German,IDS,229,1,16,0,2.6717163715310055,15.0325,0.5,German,FALSE
wsi-goettingen,central fixation,M214,wsi-goettingen:M214,German,ADS,223,1,16,0,1.6278564371660431,5.805,-0.5,German,FALSE
wsi-goettingen,central fixation,M214,wsi-goettingen:M214,German,IDS,223,1,16,0,1.5452433580157174,6.0425,0.5,German,FALSE
wsi-goettingen,central fixation,M218,wsi-goettingen:M218,German,ADS,262,1,16,0,2.0589829866033043,8.81375,-0.5,German,FALSE
wsi-goettingen,central fixation,M218,wsi-goettingen:M218,German,IDS,262,1,16,0,2.085544963197627,9.780000000000001,0.5,German,FALSE
wsi-goettingen,central fixation,M219,wsi-goettingen:M219,German,ADS,222,1,16,0,2.111792347926101,9.6,-0.5,German,FALSE
wsi-goettingen,central fixation,M219,wsi-goettingen:M219,German,IDS,222,1,16,0,2.1208859111919467,9.455,0.5,German,FALSE
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,ADS,205,1,16,0,1.54637841732066,5.40375,-0.5,German,FALSE
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,ADS,221,2,16,0,2.2854653905633446,11.46125,-0.5,German,FALSE
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,IDS,205,1,16,0,1.6670288004382032,5.9725,0.5,German,FALSE
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,IDS,221,2,16,0,2.309241346688557,11.9225,0.5,German,FALSE
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,ADS,259,1,16,0,2.321750444452251,11.07375,-0.5,German,FALSE
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,ADS,260,2,16,0,2.1784400316914274,9.905,-0.5,German,FALSE
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,IDS,259,1,16,0,2.3081235342617714,11.42125,0.5,German,FALSE
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,IDS,260,2,16,0,2.2428515682770604,11.73625,0.5,German,FALSE
wsi-goettingen,central fixation,M223,wsi-goettingen:M223,German,ADS,195,1,16,0,1.9847757472364667,8.9925,-0.5,German,FALSE
wsi-goettingen,central fixation,M223,wsi-goettingen:M223,German,IDS,195,1,16,0,1.7899846556631864,7.75875,0.5,German,FALSE
wsi-goettingen,central fixation,M226,wsi-goettingen:M226,German,ADS,211,1,16,0,2.1632279419078153,10.3575,-0.5,German,FALSE
wsi-goettingen,central fixation,M226,wsi-goettingen:M226,German,IDS,211,1,16,0,2.3041008916460015,11.405000000000001,0.5,German,FALSE
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,ADS,236,1,16,0,1.954032164027218,8.7225,-0.5,German,FALSE
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,ADS,244,2,16,0,2.069306583997347,9.71625,-0.5,German,FALSE
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,IDS,236,1,16,0,2.1152928110168743,10.38,0.5,German,FALSE
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,IDS,244,2,16,0,2.177552700071773,10.04875,0.5,German,FALSE
wsi-goettingen,central fixation,M229,wsi-goettingen:M229,German,ADS,197,1,16,0,2.742029466673072,15.68625,-0.5,German,FALSE
wsi-goettingen,central fixation,M229,wsi-goettingen:M229,German,IDS,197,1,16,0,2.7096714453423947,15.56,0.5,German,FALSE
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,ADS,200,1,16,0,2.595741529000527,13.60375,-0.5,German,FALSE
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,ADS,207,2,16,0,2.205838337832158,9.67625,-0.5,German,FALSE
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,IDS,200,1,16,0,2.1666305819091445,10.00625,0.5,German,FALSE
