"";"Subject";"Age";"Gender";"Method";"preterm";"Session";"Condition";"trial_num";"LT";"trial_error";"session_error";"Language";"Lab"
"198";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";16;12,648;"noerror";"noerror";"English";"lancslab"
"199";"P06";"264";"M";"Eyetracking";"preterm";"2";"training";-2;18,003;"noerror";"noerror";"English";"lancslab"
"200";"P06";"264";"M";"Eyetracking";"preterm";"2";"training";-1;18,377;"noerror";"noerror";"English";"lancslab"
"201";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";1;12,104;"noerror";"noerror";"English";"lancslab"
"202";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";2;18,326;"noerror";"noerror";"English";"lancslab"
"203";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";3;14,076;"noerror";"noerror";"English";"lancslab"
"204";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";4;15,385;"noerror";"noerror";"English";"lancslab"
"205";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";5;18,462;"noerror";"noerror";"English";"lancslab"
"206";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";6;12,699;"noerror";"noerror";"English";"lancslab"
"207";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";7;11,118;"noerror";"noerror";"English";"lancslab"
"208";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";8;13,311;"noerror";"noerror";"English";"lancslab"
"209";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";9;10,336;"noerror";"noerror";"English";"lancslab"
"210";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";10;10,795;"noerror";"noerror";"English";"lancslab"
"211";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";11;7,803;"noerror";"noerror";"English";"lancslab"
"212";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";12;6,596;"noerror";"noerror";"English";"lancslab"
"213";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";13;6,63;"noerror";"noerror";"English";"lancslab"
"214";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";14;10,455;"noerror";"noerror";"English";"lancslab"
"215";"P06";"264";"M";"Eyetracking";"preterm";"2";"IDS";15;3,791;"noerror";"noerror";"English";"lancslab"
"216";"P06";"264";"M";"Eyetracking";"preterm";"2";"ADS";16;7,497;"noerror";"noerror";"English";"lancslab"
"217";"P07";"210";"M";"Eyetracking";"term";"1";"training";-2;16,099;"noerror";"noerror";"English";"lancslab"
"218";"P07";"210";"M";"Eyetracking";"term";"1";"training";-1;13,685;"noerror";"noerror";"English";"lancslab"
"219";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";1;15,215;"noerror";"noerror";"English";"lancslab"
"220";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";2;15,3;"noerror";"noerror";"English";"lancslab"
"221";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";3;16,15;"noerror";"noerror";"English";"lancslab"
"222";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";4;17,952;"noerror";"noerror";"English";"lancslab"
"223";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";5;13,94;"noerror";"noerror";"English";"lancslab"
"224";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";6;16,711;"noerror";"noerror";"English";"lancslab"
"225";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";7;7,752;"noerror";"noerror";"English";"lancslab"
"226";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";8;16,031;"noerror";"noerror";"English";"lancslab"
"227";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";9;14,654;"noerror";"noerror";"English";"lancslab"
"228";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";10;16,371;"noerror";"noerror";"English";"lancslab"
"229";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";11;12,427;"noerror";"noerror";"English";"lancslab"
"230";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";12;9,877;"noerror";"noerror";"English";"lancslab"
"231";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";13;10,676;"noerror";"noerror";"English";"lancslab"
"232";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";14;15,776;"noerror";"noerror";"English";"lancslab"
"233";"P07";"210";"M";"Eyetracking";"term";"1";"IDS";15;11,815;"noerror";"noerror";"English";"lancslab"
"234";"P07";"210";"M";"Eyetracking";"term";"1";"ADS";16;13,09;"noerror";"noerror";"English";"lancslab"
