lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7096,1,IDS,IDS8,16,14.681,18,noerror,NA,NA
babylab-potsdam,b7096,2,training,train1,-2,6.131,10.423,noerror,NA,offline correction - experimenter error - subtraction of 1468 ms based on logsheet and video- child was looking away
babylab-potsdam,b7096,2,training,train2,-1,3.149,3.149,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS1,1,13.782,18.001,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS1,2,3.232,3.232,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS2,3,2.975,2.975,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS2,4,10.584,11.408,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS3,5,2.641,2.641,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS3,6,6.437,6.437,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS4,7,2.304,2.304,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS4,8,12.327,12.856,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS5,9,10.076,10.837,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS5,10,2.523,2.523,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS6,11,2.161,2.161,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS6,12,1.934,1.934,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS7,13,2.873,4.053,noerror,NA,child looked up to her father- was distracted
babylab-potsdam,b7096,2,ADS,ADS7,14,0.873,0.873,noerror,NA,NA
babylab-potsdam,b7096,2,ADS,ADS8,15,5.512,5.512,noerror,NA,NA
babylab-potsdam,b7096,2,IDS,IDS8,16,7.201,9.103,noerror,NA,offline correction - experimenter error - subtraction of 1902 ms based on logsheet and video- child was looking away
babylab-potsdam,b7105,1,training,train2,-2,18,18,noerror,NA,NA
babylab-potsdam,b7105,1,training,train1,-1,17.548,18,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS1,1,16.851,18,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS1,2,17.678,18.001,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS2,3,18,18,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS2,4,15.279,18.001,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS3,5,14.227,18,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS3,6,8.798,9.88,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS4,7,6.306,7.348,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS4,8,3.726,3.726,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS5,9,10.107,13.115,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS5,10,5.519,5.519,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS6,11,3.656,4.128,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS6,12,16.577,18,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS7,13,10.531,13.077,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS7,14,14.198,15.903,noerror,NA,NA
babylab-potsdam,b7105,1,IDS,IDS8,15,7.828,7.828,noerror,NA,NA
babylab-potsdam,b7105,1,ADS,ADS8,16,5.961,7.174,noerror,NA,NA
babylab-potsdam,b7105,2,training,train2,-2,14.838,18,noerror,NA,NA
babylab-potsdam,b7105,2,training,train1,-1,6.105,8.298,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS1,1,14.737,17.615,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS1,2,4.688,6.043,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS2,3,7.584,8.051,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS2,4,9.594,12.853,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS3,5,10.587,12.409,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS3,6,3.932,3.932,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS4,7,4.98,5.613,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS4,8,3.952,3.952,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS5,9,4.601,4.601,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS5,10,16.774,18,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS6,11,2.663,2.663,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS6,12,3.322,3.322,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS7,13,1.372,1.372,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS7,14,1.209,1.209,noerror,NA,NA
babylab-potsdam,b7105,2,IDS,IDS8,15,3.528,3.857,noerror,NA,NA
babylab-potsdam,b7105,2,ADS,ADS8,16,2.468,2.468,noerror,NA,NA
babylab-potsdam,b7135,1,training,train2,-2,17.077,18,noerror,NA,NA
babylab-potsdam,b7135,1,training,train1,-1,14.092,16.698,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS5,1,15.826,18,noerror,NA,NA
babylab-potsdam,b7135,1,IDS,IDS5,2,8.271,8.271,noerror,NA,NA
babylab-potsdam,b7135,1,IDS,IDS7,3,16.981,18,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS7,4,10.872,12.007,noerror,NA,NA
babylab-potsdam,b7135,1,IDS,IDS1,5,13.772,18.001,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS1,6,9.999,11.509,noerror,NA,NA
babylab-potsdam,b7135,1,IDS,IDS3,7,13.356,16.748,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS3,8,3.635,3.635,noerror,NA,NA
babylab-potsdam,b7135,1,IDS,IDS2,9,13.071,18.001,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS2,10,5.929,7.097,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS4,11,12.629,18,noerror,NA,offline correction - experimenter error - subtraction of 570 ms based on logsheet and video- child was looking away
babylab-potsdam,b7135,1,IDS,IDS4,12,5.657,7.035,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS6,13,13.001,17.522,noerror,NA,offline correction - experimenter error - subtraction of 775 ms based on logsheet and video- child was looking away
